Date,Estimated_fire_area,Mean_estimated_fire_brightness,Mean_estimated_fire_radiative_power,Mean_confidence,Region
2005-01-01,0.0,0.0,0.0,0.0,NSW
2005-01-02,0.0,0.0,0.0,0.0,NSW
2005-01-03,0.0,0.0,0.0,0.0,NSW
2005-01-04,8.68,312.2666667,42.4,78.66666667,NSW
2005-01-05,16.61125,322.475,62.3625,85.5,NSW
2005-01-06,5.52,325.2666667,38.4,78.33333333,NSW
2005-01-07,6.2639999999999985,313.87,33.8,92.2,NSW
2005-01-08,5.4,337.3833333,122.53333329999998,91.0,NSW
2005-01-09,13.72142857,314.7571429,64.54285714,83.14285714,NSW
2005-01-10,16.62545455,324.8,58.55454545,91.45454545,NSW
2005-01-11,32.784375,318.446875,66.8125,91.0,NSW
2005-01-12,16.48615385,323.2384615,40.60769231,87.76923077,NSW
2005-01-13,42.64,325.3766667,87.57333333,86.66666667,NSW
2005-01-14,37.12,324.835,98.65,88.3,NSW
2005-01-15,4.3,326.9625,23.5,81.75,NSW
2005-01-16,7.98,342.2833333000001,241.0666667,96.33333333,NSW
2005-01-17,5.5,331.325,77.9,88.5,NSW
2005-01-18,14.30555556,319.35555560000006,44.44444444,86.77777778,NSW
2005-01-19,8.375,307.1375,50.125,96.75,NSW
2005-01-20,24.2,314.76875,130.325,88.5,NSW
2005-01-21,7.68,317.2833333000001,30.83333333,93.5,NSW
2005-01-22,4.0,336.35,85.475,85.5,NSW
2005-01-23,0.0,0.0,0.0,0.0,NSW
2005-01-24,0.0,0.0,0.0,0.0,NSW
2005-01-25,4.5,334.8,118.65,89.5,NSW
2005-01-26,19.81875,303.78125,35.75,91.625,NSW
2005-01-27,18.91111111,305.9888889,36.11111111,96.55555556,NSW
2005-01-28,12.87142857,318.55,43.45714286,88.28571429,NSW
2005-01-29,31.02363636,319.5227273,92.24545455,93.18181818,NSW
2005-01-30,12.21285714,320.6785713999999,48.3,89.85714286,NSW
2005-01-31,8.486666667,331.15,50.86666667,91.33333333,NSW
2005-02-01,6.586666667,319.3833333,40.1,81.0,NSW
2005-02-02,0.0,0.0,0.0,0.0,NSW
2005-02-03,3.2,304.7333333,28.36666667,92.33333333,NSW
2005-02-04,7.505714286,329.0214286000001,34.14285714,83.28571429,NSW
2005-02-05,25.68909091,321.4181818,61.27272727,84.81818182,NSW
2005-02-06,14.43,333.75,84.6,92.1,NSW
2005-02-07,20.915,327.0583333,51.975,84.08333333,NSW
2005-02-08,12.08666667,331.1611111,180.3666667,94.88888889,NSW
2005-02-09,0.0,0.0,0.0,0.0,NSW
2005-02-10,10.6425,305.5125,19.8625,88.25,NSW
2005-02-11,10.98666667,332.7055556,72.38888889,90.66666667,NSW
2005-02-12,11.96333333,321.5222222,67.21111111,89.0,NSW
2005-02-13,4.306666667,310.2666667,26.56666667,89.66666667,NSW
2005-02-14,2.0,323.25,21.0,81.5,NSW
2005-02-15,7.41,336.66,69.94,90.0,NSW
2005-02-16,9.66,316.525,36.8625,85.375,NSW
2005-02-17,28.38461538,316.6615385,60.43076923,85.23076923,NSW
2005-02-18,15.87818182,335.8636364,135.4727273,90.09090909,NSW
2005-02-19,40.46,329.5857143,422.8,94.42857143,NSW
2005-02-20,0.0,0.0,0.0,0.0,NSW
2005-02-21,43.90571429,318.3357143,244.2285714,83.85714286,NSW
2005-02-22,15.94285714,317.4107143,27.15714286,87.5,NSW
2005-02-23,52.72914286,323.8485714,57.87428571,89.05714286,NSW
2005-02-24,9.066666667,319.3583333,55.8,83.66666667,NSW
2005-02-25,2.0,345.775,177.95,89.5,NSW
2005-02-26,1.0,303.15,8.0,79.0,NSW
2005-02-27,0.0,0.0,0.0,0.0,NSW
2005-02-28,76.3776,319.014,65.976,86.4,NSW
2005-03-01,54.96195122,330.2719512,70.99268293,90.36585366,NSW
2005-03-02,117.0517241,318.7741379,130.5137931,83.96551724,NSW
2005-03-03,22.72941176,328.0529412,97.00588235,87.47058824,NSW
2005-03-04,69.40606061,327.4439394,143.7333333,91.90909091,NSW
2005-03-05,37.028125,318.690625,80.775,85.9375,NSW
2005-03-06,8.668571429,331.7785714,55.12857143,90.85714286,NSW
2005-03-07,88.12777778,323.4666667,163.8833333,87.72222222,NSW
2005-03-08,37.32,329.3672414,59.68965517,87.93103448,NSW
2005-03-09,76.428,324.9866667,140.09,88.46666667,NSW
2005-03-10,68.112,328.77875,72.21,87.525,NSW
2005-03-11,83.06274509999999,324.1372549,51.27254902,87.47058824,NSW
2005-03-12,20.12769231,320.3961538000001,51.77692308,87.07692308,NSW
2005-03-13,5.0525,315.6,55.75,98.25,NSW
2005-03-14,90.19705882,320.075,85.45,87.88235294,NSW
2005-03-15,56.286,325.5722222,45.75111111,89.66666667,NSW
2005-03-16,95.84714286,326.4589286000001,209.8571429,88.39285714,NSW
2005-03-17,23.80714286,313.8178571,59.71428571,88.35714286,NSW
2005-03-18,41.055,322.3096154,53.30384615,84.69230769,NSW
2005-03-19,2.99,312.2,25.45,86.0,NSW
2005-03-20,21.63333333,327.1555556,79.74444444,87.66666667,NSW
2005-03-21,61.22470588,316.40588239999994,87.25882353,83.47058824,NSW
2005-03-22,36.838125,324.1453125,51.95,87.53125,NSW
2005-03-23,137.4285714,316.1583333000001,96.60714286,85.92857143,NSW
2005-03-24,52.624,323.7577778,45.51555556,86.71111111,NSW
2005-03-25,18.76,318.7583333,58.01666667,81.33333333,NSW
2005-03-26,6.05,317.37,28.88,87.6,NSW
2005-03-27,0.0,0.0,0.0,0.0,NSW
2005-03-28,3.105,324.95,81.95,88.5,NSW
2005-03-29,23.84,324.2125,103.7416667,89.75,NSW
2005-03-30,87.76125,318.81875,218.09375,85.3125,NSW
2005-03-31,30.59777778,323.1222222,41.14444444,86.62962963,NSW
2005-04-01,225.0862069,319.0931034,125.2,84.43103448,NSW
2005-04-02,47.17026316,323.38289469999995,52.73947368,87.07894737,NSW
2005-04-03,34.97142857,315.575,54.22857143,83.42857143,NSW
2005-04-04,12.0375,318.66875,48.7875,82.25,NSW
2005-04-05,53.361,321.2925,49.83,85.45,NSW
2005-04-06,75.81,314.0725806000001,135.1225806,89.06451613,NSW
2005-04-07,33.43483871,316.566129,49.08709677,85.4516129,NSW
2005-04-08,17.13857143,317.1357143,67.44285714,82.14285714,NSW
2005-04-09,21.516875,318.790625,39.3,86.875,NSW
2005-04-10,21.78,311.9642857,74.38571429,87.28571429,NSW
2005-04-11,52.9875,320.5125,48.99722222,84.02777778,NSW
2005-04-12,128.424359,321.6615385,55.76538462,85.37179487,NSW
2005-04-13,211.0191045,315.4962687,74.54328358,83.65671642,NSW
2005-04-14,32.96304348,322.0,57.4,88.0,NSW
2005-04-15,12.79333333,317.0083333,63.88333333,86.5,NSW
2005-04-16,5.3039999999999985,316.17,34.66,86.4,NSW
2005-04-17,5.265,311.475,32.9,76.0,NSW
2005-04-18,44.73823529,319.5029412,49.58529412,87.58823529,NSW
2005-04-19,131.6594828,316.17413789999995,72.42068966,86.41379309999998,NSW
2005-04-20,85.90930233,316.8418605,53.43255814,85.1627907,NSW
2005-04-21,83.53254237,318.6974576,41.41694915,84.96610169,NSW
2005-04-22,94.99777778,313.0018519,79.37037037,85.0,NSW
2005-04-23,16.73466667,318.4866667,35.70666667,87.26666667,NSW
2005-04-24,8.84,304.4166667,28.3,85.83333333,NSW
2005-04-25,11.021,321.465,45.96,86.8,NSW
2005-04-26,106.7393939,316.9090909,146.92424240000003,87.03030303,NSW
2005-04-27,117.0734783,320.6731884,71.07536232,86.26086957,NSW
2005-04-28,181.2103704,324.57175930000005,95.28425926,88.67592593,NSW
2005-04-29,22.78,311.5,107.45,82.5,NSW
2005-04-30,27.57521739,316.0391304,48.17826087,86.0,NSW
2005-05-01,0.0,0.0,0.0,0.0,NSW
2005-05-02,62.32745763,320.7864407,60.6559322,88.22033898,NSW
2005-05-03,73.8,320.6868421000001,397.4947368,89.52631579,NSW
2005-05-04,51.61578947,324.6210526,124.9315789,88.44736842,NSW
2005-05-05,40.88888889,315.1833333,70.38888889,87.16666667,NSW
