,Unnamed: 0,Region,Date,Estimated_fire_area,Mean_estimated_fire_brightness,Mean_estimated_fire_radiative_power,Mean_confidence,Std_confidence,Var_confidence,Count,Replaced,Year,Month
0,0,NSW,2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,1
1,1,NSW,2005-01-02,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,1
2,2,NSW,2005-01-03,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,1
3,3,NSW,2005-01-04,8.68,312.2666667,42.4,78.66666667,2.886751346,8.333333332999999,3,R,2005,1
4,4,NSW,2005-01-05,16.61125,322.475,62.3625,85.5,8.088792952999999,65.42857143,8,R,2005,1
5,5,NSW,2005-01-06,5.52,325.2666667,38.4,78.33333333,3.214550254,10.33333333,3,R,2005,1
6,6,NSW,2005-01-07,6.2639999999999985,313.87,33.8,92.2,7.529940239,56.7,5,R,2005,1
7,7,NSW,2005-01-08,5.4,337.3833333,122.53333329999998,91.0,7.937253932999999,63.0,3,R,2005,1
8,8,NSW,2005-01-09,13.72142857,314.7571429,64.54285714,83.14285714,6.175990377000001,38.14285714,7,R,2005,1
9,9,NSW,2005-01-10,16.62545455,324.8,58.55454545,91.45454545,6.088737741,37.07272727,11,R,2005,1
10,10,NSW,2005-01-11,32.784375,318.446875,66.8125,91.0,10.1324561,102.6666667,16,R,2005,1
11,11,NSW,2005-01-12,16.48615385,323.2384615,40.60769231,87.76923077,8.623164985,74.35897436,13,R,2005,1
12,12,NSW,2005-01-13,42.64,325.3766667,87.57333333,86.66666667,7.499206307000001,56.23809524,15,R,2005,1
13,13,NSW,2005-01-14,37.12,324.835,98.65,88.3,7.087547766,50.23333333,10,R,2005,1
14,14,NSW,2005-01-15,4.3,326.9625,23.5,81.75,4.924428901000001,24.25,4,R,2005,1
15,15,NSW,2005-01-16,7.98,342.2833333000001,241.0666667,96.33333333,6.350852961,40.33333333,3,R,2005,1
16,16,NSW,2005-01-17,5.5,331.325,77.9,88.5,10.24695077,105.0,4,R,2005,1
17,17,NSW,2005-01-18,14.30555556,319.35555560000006,44.44444444,86.77777778,7.446102635,55.44444444,9,R,2005,1
18,18,NSW,2005-01-19,8.375,307.1375,50.125,96.75,5.852349955,34.25,4,R,2005,1
19,19,NSW,2005-01-20,24.2,314.76875,130.325,88.5,6.782329983,46.0,8,R,2005,1
20,20,NSW,2005-01-21,7.68,317.2833333000001,30.83333333,93.5,8.734987121,76.3,6,R,2005,1
21,21,NSW,2005-01-22,4.0,336.35,85.475,85.5,9.746794345,95.0,4,R,2005,1
22,22,NSW,2005-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,1
23,23,NSW,2005-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,1
24,24,NSW,2005-01-25,4.5,334.8,118.65,89.5,10.60660172,112.5,2,R,2005,1
25,25,NSW,2005-01-26,19.81875,303.78125,35.75,91.625,6.435115717,41.41071429,8,R,2005,1
26,26,NSW,2005-01-27,18.91111111,305.9888889,36.11111111,96.55555556,4.362084109,19.02777778,9,R,2005,1
27,27,NSW,2005-01-28,12.87142857,318.55,43.45714286,88.28571429,8.635475006,74.57142857,7,R,2005,1
28,28,NSW,2005-01-29,31.02363636,319.5227273,92.24545455,93.18181818,10.01816532,100.3636364,11,R,2005,1
29,29,NSW,2005-01-30,12.21285714,320.6785713999999,48.3,89.85714286,7.312741652000001,53.47619048,7,R,2005,1
30,30,NSW,2005-01-31,8.486666667,331.15,50.86666667,91.33333333,6.742897498,45.46666667,6,R,2005,1
31,31,NSW,2005-02-01,6.586666667,319.3833333,40.1,81.0,2.645751311,7.0,3,R,2005,2
32,32,NSW,2005-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,2
33,33,NSW,2005-02-03,3.2,304.7333333,28.36666667,92.33333333,8.020806277,64.33333333,3,R,2005,2
34,34,NSW,2005-02-04,7.505714286,329.0214286000001,34.14285714,83.28571429,5.313952883,28.23809524,7,R,2005,2
35,35,NSW,2005-02-05,25.68909091,321.4181818,61.27272727,84.81818182,8.600211414,73.96363636,11,R,2005,2
36,36,NSW,2005-02-06,14.43,333.75,84.6,92.1,8.659612513999999,74.98888889,10,R,2005,2
37,37,NSW,2005-02-07,20.915,327.0583333,51.975,84.08333333,7.140898,50.99242424,12,R,2005,2
38,38,NSW,2005-02-08,12.08666667,331.1611111,180.3666667,94.88888889,7.025746302999999,49.36111111,9,R,2005,2
39,39,NSW,2005-02-09,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,2
40,40,NSW,2005-02-10,10.6425,305.5125,19.8625,88.25,8.811518436,77.64285714,8,R,2005,2
41,41,NSW,2005-02-11,10.98666667,332.7055556,72.38888889,90.66666667,7.95298686,63.25,9,R,2005,2
42,42,NSW,2005-02-12,11.96333333,321.5222222,67.21111111,89.0,9.733961167,94.75,9,R,2005,2
43,43,NSW,2005-02-13,4.306666667,310.2666667,26.56666667,89.66666667,9.291573243,86.33333333,3,R,2005,2
44,44,NSW,2005-02-14,2.0,323.25,21.0,81.5,0.7071067809999999,0.5,2,R,2005,2
45,45,NSW,2005-02-15,7.41,336.66,69.94,90.0,9.591663047,92.0,5,R,2005,2
46,46,NSW,2005-02-16,9.66,316.525,36.8625,85.375,8.584662403,73.69642857,8,R,2005,2
47,47,NSW,2005-02-17,28.38461538,316.6615385,60.43076923,85.23076923,6.084869845,37.02564103,13,R,2005,2
48,48,NSW,2005-02-18,15.87818182,335.8636364,135.4727273,90.09090909,8.870789654,78.69090909,11,R,2005,2
49,49,NSW,2005-02-19,40.46,329.5857143,422.8,94.42857143,6.051367417000001,36.61904762,7,R,2005,2
50,50,NSW,2005-02-20,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,2
51,51,NSW,2005-02-21,43.90571429,318.3357143,244.2285714,83.85714286,9.685531674,93.80952381,7,R,2005,2
52,52,NSW,2005-02-22,15.94285714,317.4107143,27.15714286,87.5,8.83829082,78.11538462,14,R,2005,2
53,53,NSW,2005-02-23,52.72914286,323.8485714,57.87428571,89.05714286,8.174360407,66.82016807,35,R,2005,2
54,54,NSW,2005-02-24,9.066666667,319.3583333,55.8,83.66666667,6.121002097000001,37.46666667,6,R,2005,2
55,55,NSW,2005-02-25,2.0,345.775,177.95,89.5,14.8492424,220.5,2,R,2005,2
56,56,NSW,2005-02-26,1.0,303.15,8.0,79.0,0.0,0.0,1,R,2005,2
57,57,NSW,2005-02-27,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,2
58,58,NSW,2005-02-28,76.3776,319.014,65.976,86.4,7.921489759,62.75,25,R,2005,2
59,59,NSW,2005-03-01,54.96195122,330.2719512,70.99268293,90.36585366,8.717098421000001,75.98780488,41,R,2005,3
60,60,NSW,2005-03-02,117.0517241,318.7741379,130.5137931,83.96551724,6.700121314,44.89162562,29,R,2005,3
61,61,NSW,2005-03-03,22.72941176,328.0529412,97.00588235,87.47058824,9.37495098,87.88970588,17,R,2005,3
62,62,NSW,2005-03-04,69.40606061,327.4439394,143.7333333,91.90909091,7.747433592999999,60.02272727,33,R,2005,3
63,63,NSW,2005-03-05,37.028125,318.690625,80.775,85.9375,7.6460774260000015,58.4625,16,R,2005,3
64,64,NSW,2005-03-06,8.668571429,331.7785714,55.12857143,90.85714286,7.646972635,58.47619048,7,R,2005,3
65,65,NSW,2005-03-07,88.12777778,323.4666667,163.8833333,87.72222222,6.332043212,40.09477124,18,R,2005,3
66,66,NSW,2005-03-08,37.32,329.3672414,59.68965517,87.93103448,9.490337321,90.06650246,29,R,2005,3
67,67,NSW,2005-03-09,76.428,324.9866667,140.09,88.46666667,6.966586921,48.53333333,30,R,2005,3
68,68,NSW,2005-03-10,68.112,328.77875,72.21,87.525,8.906890159,79.33269231,40,R,2005,3
69,69,NSW,2005-03-11,83.06274509999999,324.1372549,51.27254902,87.47058824,7.561356865,57.17411765,51,R,2005,3
70,70,NSW,2005-03-12,20.12769231,320.3961538000001,51.77692308,87.07692308,6.701511502000001,44.91025641,13,R,2005,3
71,71,NSW,2005-03-13,5.0525,315.6,55.75,98.25,3.5,12.25,4,R,2005,3
72,72,NSW,2005-03-14,90.19705882,320.075,85.45,87.88235294,7.285372251,53.07664884,34,R,2005,3
73,73,NSW,2005-03-15,56.286,325.5722222,45.75111111,89.66666667,8.115641463,65.86363636,45,R,2005,3
74,74,NSW,2005-03-16,95.84714286,326.4589286000001,209.8571429,88.39285714,7.0989789860000005,50.39550265,28,R,2005,3
75,75,NSW,2005-03-17,23.80714286,313.8178571,59.71428571,88.35714286,9.981576435,99.63186813,14,R,2005,3
76,76,NSW,2005-03-18,41.055,322.3096154,53.30384615,84.69230769,7.254070475,52.62153846,26,R,2005,3
77,77,NSW,2005-03-19,2.99,312.2,25.45,86.0,8.485281374,72.0,2,R,2005,3
78,78,NSW,2005-03-20,21.63333333,327.1555556,79.74444444,87.66666667,6.480740698,42.0,9,R,2005,3
79,79,NSW,2005-03-21,61.22470588,316.40588239999994,87.25882353,83.47058824,7.835158319,61.38970588,17,R,2005,3
80,80,NSW,2005-03-22,36.838125,324.1453125,51.95,87.53125,7.496168376,56.19254032,32,R,2005,3
81,81,NSW,2005-03-23,137.4285714,316.1583333000001,96.60714286,85.92857143,8.001197646,64.01916376,42,R,2005,3
82,82,NSW,2005-03-24,52.624,323.7577778,45.51555556,86.71111111,8.368290317,70.02828283,45,R,2005,3
83,83,NSW,2005-03-25,18.76,318.7583333,58.01666667,81.33333333,5.645056835,31.86666667,6,R,2005,3
84,84,NSW,2005-03-26,6.05,317.37,28.88,87.6,9.555103348,91.3,5,R,2005,3
85,85,NSW,2005-03-27,0.0,0.0,0.0,0.0,0.0,0.0,1,N,2005,3
86,86,NSW,2005-03-28,3.105,324.95,81.95,88.5,14.8492424,220.5,2,R,2005,3
87,87,NSW,2005-03-29,23.84,324.2125,103.7416667,89.75,8.635287014,74.56818182,12,R,2005,3
88,88,NSW,2005-03-30,87.76125,318.81875,218.09375,85.3125,7.462964112000001,55.69583333,16,R,2005,3
89,89,NSW,2005-03-31,30.59777778,323.1222222,41.14444444,86.62962963,7.651787866,58.54985755,27,R,2005,3
90,90,NSW,2005-04-01,225.0862069,319.0931034,125.2,84.43103448,7.68710944,59.09165154,58,R,2005,4
91,91,NSW,2005-04-02,47.17026316,323.38289469999995,52.73947368,87.07894737,7.527899743,56.66927454,38,R,2005,4
92,92,NSW,2005-04-03,34.97142857,315.575,54.22857143,83.42857143,6.173320832999999,38.10989011,14,R,2005,4
93,93,NSW,2005-04-04,12.0375,318.66875,48.7875,82.25,6.902380542,47.64285714,8,R,2005,4
94,94,NSW,2005-04-05,53.361,321.2925,49.83,85.45,6.890908167999999,47.48461538,40,R,2005,4
95,95,NSW,2005-04-06,75.81,314.0725806000001,135.1225806,89.06451613,8.103231799,65.66236559,31,R,2005,4
96,96,NSW,2005-04-07,33.43483871,316.566129,49.08709677,85.4516129,8.297946371,68.85591398,31,R,2005,4
97,97,NSW,2005-04-08,17.13857143,317.1357143,67.44285714,82.14285714,3.38765265,11.47619048,7,R,2005,4
98,98,NSW,2005-04-09,21.516875,318.790625,39.3,86.875,6.955812917,48.38333333,16,R,2005,4
99,99,NSW,2005-04-10,21.78,311.9642857,74.38571429,87.28571429,8.159131606,66.57142857,7,R,2005,4
100,100,NSW,2005-04-11,52.9875,320.5125,48.99722222,84.02777778,7.4161449789999985,54.99920635,36,R,2005,4
101,101,NSW,2005-04-12,128.424359,321.6615385,55.76538462,85.37179487,7.306124409,53.37945388,78,R,2005,4
102,102,NSW,2005-04-13,211.0191045,315.4962687,74.54328358,83.65671642,6.397329554,40.92582542,67,R,2005,4
103,103,NSW,2005-04-14,32.96304348,322.0,57.4,88.0,7.716570128,59.54545455,23,R,2005,4
104,104,NSW,2005-04-15,12.79333333,317.0083333,63.88333333,86.5,5.00999002,25.1,6,R,2005,4
105,105,NSW,2005-04-16,5.3039999999999985,316.17,34.66,86.4,7.021395873,49.3,5,R,2005,4
106,106,NSW,2005-04-17,5.265,311.475,32.9,76.0,0.0,0.0,2,R,2005,4
107,107,NSW,2005-04-18,44.73823529,319.5029412,49.58529412,87.58823529,9.274002917999999,86.00713012,34,R,2005,4
108,108,NSW,2005-04-19,131.6594828,316.17413789999995,72.42068966,86.41379309999998,7.686932367000001,59.08892922,58,R,2005,4
109,109,NSW,2005-04-20,85.90930233,316.8418605,53.43255814,85.1627907,8.292079504,68.75858249999999,43,R,2005,4
