Date,Safe,SolarRadiation_max,SolarRadiation_min,SolarRadiation_mean,SoilWaterContent_max,SoilWaterContent_min,SoilWaterContent_mean,Prev_fire_area_0,Prev_fire_area_1,Prev_fire_area_2,Prev_fire_area_3,Prev_fire_area_4,Prev_fire_area_5,Prev_fire_area_6,Prev_fire_area_7,Prev_fire_area_8,Prev_fire_area_9,Prev_fire_area_10,Prev_fire_area_11,Prev_fire_area_12,Prev_fire_area_13,Prev_fire_area_14,Month
2005-01-23,1,32.04605865478516,8.167930603027344,26.239007720872785,0.491776257753372,0.02001566439867,0.201244305712428,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,5.52,16.61125,8.68,0.0,0.0,1
2005-01-24,1,31.27498435974121,7.8934454917907715,23.09836247625338,0.497570008039474,0.017030313611031,0.207525093219766,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,5.52,16.61125,8.68,0.0,1
2005-01-25,0,30.276456832885746,8.852730751037598,22.420875638254785,0.5014802813529969,0.020408488810062,0.215958720684034,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,5.52,16.61125,8.68,1
2005-01-26,0,31.085344314575195,11.411336898803713,25.977108017479758,0.490806698799133,0.019792029634118,0.208020974237013,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,5.52,16.61125,1
2005-01-27,0,31.09300422668457,6.189523220062256,25.25318930420785,0.495739340782166,0.020089946687222,0.199955052113224,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,5.52,1
2005-01-28,0,30.653120040893555,16.239187240600586,25.974632234819783,0.4753609299659729,0.019009932875633,0.191394102969988,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,6.263999999999999,1
2005-01-29,0,31.118751525878903,13.743437767028809,22.88799564486016,0.457149773836136,0.017737561836839,0.190822790210715,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,5.4,1
2005-01-30,0,31.26546669006348,9.547581672668455,27.307634162940985,0.461004495620728,0.0201722644269469,0.1851298011897489,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,13.72142857,1
2005-01-31,0,31.255674362182614,17.036548614501953,27.47615992880452,0.456984430551529,0.018786989152431,0.179144799804293,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,16.62545455,1
2005-02-01,0,31.19898033142089,17.820451736450195,25.707789507070345,0.46534076333046,0.018955992534757,0.186366066446953,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,32.784375,2
2005-02-02,1,31.66646194458008,3.433060884475708,21.4924451920438,0.492518961429596,0.0246224850416179,0.233364333116763,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,16.48615385,2
2005-02-03,0,32.50250244140625,3.474025964736938,22.36371372680772,0.503686785697937,0.023883873596787,0.232172464305498,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,42.64,2
2005-02-04,0,31.76306343078613,7.116805553436278,22.23320284522854,0.499892294406891,0.021643174812198,0.2219207041725679,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,37.12,2
2005-02-05,0,31.14775085449219,16.132490158081055,26.709984944160013,0.4744824767112729,0.0221742298454049,0.210777713419374,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,4.3,2
2005-02-06,0,31.43210029602051,25.005512237548828,30.18374273395321,0.451188623905182,0.0171870384365319,0.197737884074094,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,7.98,2
2005-02-07,0,31.19245147705078,23.048059463500977,29.921203189216428,0.425223350524902,0.0174243357032539,0.1865746051097289,8.486666667,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,5.5,2
2005-02-08,0,30.328388214111328,14.020230293273926,27.20536035530048,0.4172801673412321,0.018725095316768,0.180084165622633,6.586666667,8.486666667,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,14.30555556,2
2005-02-09,1,30.13914680480957,7.522333145141602,21.99627324572179,0.4401024580001829,0.0195629447698589,0.193862790555252,0.0,6.586666667,8.486666667,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,8.375,2
2005-02-10,0,30.311206817626957,7.667494297027588,25.64731550141663,0.461452037096024,0.021153084933758,0.208315262443079,3.2,0.0,6.586666667,8.486666667,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,24.2,2
2005-02-11,0,30.423925399780277,17.070173263549805,27.92149070539163,0.4477935135364529,0.019851231947541,0.1956550604830119,7.505714286,3.2,0.0,6.586666667,8.486666667,12.21285714,31.02363636,12.87142857,18.91111111,19.81875,4.5,0.0,0.0,4.0,7.68,2
