Date,Safe,SolarRadiation_max,SolarRadiation_min,SolarRadiation_mean,SoilWaterContent_max,SoilWaterContent_min,SoilWaterContent_mean,Prev_fire_area_0,Prev_fire_area_1,Prev_fire_area_2,Prev_fire_area_3,Prev_fire_area_4,Prev_fire_area_5,Prev_fire_area_6,Prev_fire_area_7,Prev_fire_area_8,Prev_fire_area_9,Prev_fire_area_10,Prev_fire_area_11,Prev_fire_area_12,Prev_fire_area_13,Prev_fire_area_14,Month
2005-01-23,1,31.58047294616699,18.643568038940437,28.04564465968189,0.356013655662537,7.09823098e-07,0.200305099843688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-24,1,31.79975509643555,25.75709724426269,29.86122952221629,0.3421560227870939,0.0,0.192513292576001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-25,1,30.76816177368164,24.24007797241211,28.74543553866569,0.327249825000763,1.799082384e-06,0.1847021908557399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-26,0,29.67291641235352,17.623502731323242,23.50537276685308,0.338380604982376,0.0,0.190479202777958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-27,0,29.45209884643555,11.53684902191162,19.74186739991001,0.389593899250031,1.22779326e-07,0.213425726182723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-28,1,28.216033935546875,13.92125415802002,19.613932602194144,0.402270138263702,0.0,0.24007509004066,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-29,1,27.82982444763184,12.961862564086914,21.536894217141004,0.385338991880417,2.22314452e-06,0.236893977125682,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-30,1,31.03700828552246,19.156169891357425,25.7190225841983,0.362817913293839,0.0,0.2237866420301749,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-01-31,1,30.450130462646484,18.416290283203125,25.44465227080744,0.3533014953136439,1.7871302590000002e-06,0.2138054551873439,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2005-02-01,1,24.86711883544921,8.480742454528809,18.01009547665201,0.40622490644455,2.8240804110000004e-06,0.251731612927811,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2005-02-02,1,19.650384902954105,5.903921604156494,10.672696197089182,0.4194063544273379,0.0,0.292098756759012,2.42,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2005-02-03,1,24.04783630371093,8.242857933044434,15.268742099957716,0.416524946689606,5.839392539999999e-07,0.307697655496199,12.18,2.42,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2005-02-04,1,26.776994705200195,13.987112045288086,18.74868784385962,0.407052457332611,1.7687366900000004e-07,0.2917881062034699,0.0,12.18,2.42,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2005-02-05,1,26.60861778259277,6.921234607696532,14.332399997021904,0.415087312459946,5.37605899e-07,0.302690210766869,0.0,0.0,12.18,2.42,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,0.0,2
2005-02-06,1,30.01642227172852,10.96670150756836,21.011802223258623,0.3969951570034029,0.0,0.287656358874563,0.0,0.0,0.0,12.18,2.42,0.0,0.0,0.0,22.87125,12.26428571,0.0,0.0,0.0,0.0,0.0,2
